Category,Item,Level,Size,Format,Specific_Prompt,Filename,Priority
Equipment,Headphones,0,256x256,PNG,"Empty equipment slot, dark silhouette of headphones shape, cel-shaded art style, bold black outlines, muted gray colors, 2000s video game aesthetic, minimalist, placeholder icon",headphones-0.png,HIGH
Equipment,Headphones,1,256x256,PNG,"Basic earbuds with wire, white/gray color, simple design, 3.5mm jack visible, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, entry-level audio",headphones-1.png,HIGH
Equipment,Headphones,2,256x256,PNG,"On-ear headphones, black padded cups, adjustable headband, coiled cable, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, consumer-grade",headphones-2.png,HIGH
Equipment,Headphones,3,256x256,PNG,"Over-ear DJ headphones, red/black color scheme, large cups, swivel design, thick cable, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, DJ equipment",headphones-3.png,HIGH
Equipment,Headphones,4,256x256,PNG,"Studio monitor headphones, closed-back design, matte black, professional look, coiled cable with gold-plated jack, cel-shaded art style, bold black outlines, flat vibrant colors, pro audio gear",headphones-4.png,HIGH
Equipment,Headphones,5,256x256,PNG,"Premium studio headphones, open-back design, wooden ear cups, leather headband, silver accents, cel-shaded art style, bold black outlines, flat vibrant colors, high-end audiophile equipment",headphones-5.png,HIGH
Equipment,Headphones,6,256x256,PNG,"Wireless studio headphones, sleek modern design, blue LED indicators, noise cancellation visible, cel-shaded art style, bold black outlines, flat vibrant colors, cutting-edge technology",headphones-6.png,HIGH
Equipment,Headphones,7,256x256,PNG,"Reference monitor headphones, planar magnetic drivers visible through transparent cups, purple/black color scheme, cel-shaded art style, bold black outlines, flat vibrant neon colors, elite producer gear",headphones-7.png,HIGH
Equipment,Headphones,8,256x256,PNG,"Holographic audio headphones, floating ear cups, energy field visible, cyan/magenta colors, cel-shaded art style, bold black outlines, flat vibrant colors, futuristic sci-fi design",headphones-8.png,HIGH
Equipment,Headphones,9,256x256,PNG,"Legendary mastering headphones, crystalline structure, sound waves visualized around them, gold/white/rainbow colors, cel-shaded art style, bold black outlines, flat vibrant colors, mythical item",headphones-9.png,HIGH
Equipment,Headphones,10,256x256,PNG,"Divine audio artifact, pure energy form, sacred sound geometry, transcendent platinum/diamond colors, cel-shaded art style, bold black outlines, flat vibrant colors, ultimate legendary equipment",headphones-10.png,HIGH
Equipment,Microphone,0,256x256,PNG,"Empty equipment slot, dark silhouette of microphone shape, cel-shaded art style, bold black outlines, muted gray colors, 2000s video game aesthetic, minimalist, placeholder icon",microphone-0.png,HIGH
Equipment,Microphone,1,256x256,PNG,"Basic USB microphone, simple cylindrical design, black plastic, USB cable attached, desktop stand, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, beginner mic",microphone-1.png,HIGH
Equipment,Microphone,2,256x256,PNG,"Condenser microphone, large diaphragm, silver grille, shock mount visible, XLR cable, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, home studio mic",microphone-2.png,HIGH
Equipment,Microphone,3,256x256,PNG,"Studio condenser microphone, gold-plated grille, black body, professional shock mount, pop filter attached, cel-shaded art style, bold black outlines, flat vibrant colors, pro recording equipment",microphone-3.png,HIGH
Equipment,Microphone,4,256x256,PNG,"Large diaphragm tube microphone, vintage-inspired design, brass/gold color, glowing tube visible inside, cel-shaded art style, bold black outlines, flat vibrant colors, premium studio mic",microphone-4.png,HIGH
Equipment,Microphone,5,256x256,PNG,"Multi-pattern studio microphone, switchable polar patterns indicator, blue/silver color scheme, premium build, cel-shaded art style, bold black outlines, flat vibrant colors, versatile pro mic",microphone-5.png,HIGH
Equipment,Microphone,6,256x256,PNG,"Vintage tube microphone replica, classic 1950s design, chrome/brass finish, glowing warm tube, cel-shaded art style, bold black outlines, flat vibrant colors, legendary studio sound",microphone-6.png,HIGH
Equipment,Microphone,7,256x256,PNG,"Modern flagship studio microphone, sleek black design, LED ring indicators, multiple capsules visible, cel-shaded art style, bold black outlines, flat vibrant neon colors, cutting-edge technology",microphone-7.png,HIGH
Equipment,Microphone,8,256x256,PNG,"Holographic recording microphone, floating capsule, energy field capturing sound waves, cyan/magenta colors, cel-shaded art style, bold black outlines, flat vibrant colors, futuristic sci-fi",microphone-8.png,HIGH
Equipment,Microphone,9,256x256,PNG,"Legendary vocal microphone, crystalline structure, sound waves visualized, gold/white/rainbow colors, cel-shaded art style, bold black outlines, flat vibrant colors, mythical recording artifact",microphone-9.png,HIGH
Equipment,Microphone,10,256x256,PNG,"Divine voice capture artifact, pure sonic energy, sacred audio geometry, transcendent platinum/diamond colors, cel-shaded art style, bold black outlines, flat vibrant colors, god-tier equipment",microphone-10.png,HIGH
Equipment,Computer,0,256x256,PNG,"Empty equipment slot, dark silhouette of computer/laptop shape, cel-shaded art style, bold black outlines, muted gray colors, 2000s video game aesthetic, minimalist, placeholder icon",computer-0.png,HIGH
Equipment,Computer,1,256x256,PNG,"Basic laptop, simple gray design, small screen, basic keyboard, closed lid showing logo, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, entry-level",computer-1.png,HIGH
Equipment,Computer,2,256x256,PNG,"Mid-range laptop, black/silver, larger screen, open showing simple DAW interface, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, home producer setup",computer-2.png,HIGH
Equipment,Computer,3,256x256,PNG,"Gaming laptop, RGB keyboard lighting, red/black color scheme, powerful look, DAW software visible on screen, cel-shaded art style, bold black outlines, flat vibrant colors, prosumer equipment",computer-3.png,HIGH
Equipment,Computer,4,256x256,PNG,"Professional workstation laptop, sleek aluminum design, large high-res screen, professional DAW interface visible, cel-shaded art style, bold black outlines, flat vibrant colors, pro producer gear",computer-4.png,HIGH
Equipment,Computer,5,256x256,PNG,"Desktop workstation, tower PC with RGB lighting, dual monitors showing complex DAW session, cel-shaded art style, bold black outlines, flat vibrant colors, serious production setup",computer-5.png,HIGH
Equipment,Computer,6,256x256,PNG,"High-end production workstation, custom PC build, triple monitor setup, advanced DAW with plugins visible, blue/purple lighting, cel-shaded art style, bold black outlines, flat vibrant colors",computer-6.png,HIGH
Equipment,Computer,7,256x256,PNG,"Professional studio computer system, rack-mounted servers, multiple screens, complex routing visible, neon accent lighting, cel-shaded art style, bold black outlines, flat vibrant neon colors",computer-7.png,HIGH
Equipment,Computer,8,256x256,PNG,"Quantum computing music workstation, holographic displays, floating interface elements, cyan/magenta colors, cel-shaded art style, bold black outlines, flat vibrant colors, futuristic sci-fi",computer-8.png,HIGH
Equipment,Computer,9,256x256,PNG,"Legendary production supercomputer, crystalline processors, energy flowing through circuits, gold/white/rainbow colors, cel-shaded art style, bold black outlines, flat vibrant colors, mythical tech",computer-9.png,HIGH
Equipment,Computer,10,256x256,PNG,"Divine creation engine, pure computational energy, sacred digital geometry, transcendent platinum/diamond colors, cel-shaded art style, bold black outlines, flat vibrant colors, ultimate power",computer-10.png,HIGH
Equipment,MIDI Controller,0,256x256,PNG,"Empty equipment slot, dark silhouette of keyboard/controller shape, cel-shaded art style, bold black outlines, muted gray colors, 2000s video game aesthetic, minimalist, placeholder icon",midi-0.png,HIGH
Equipment,MIDI Controller,1,256x256,PNG,"Mini 25-key MIDI keyboard, compact white/black design, simple controls, USB cable, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, portable beginner keyboard",midi-1.png,HIGH
Equipment,MIDI Controller,2,256x256,PNG,"37-key MIDI controller, black keys, pitch/mod wheels, basic knobs and pads, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, home studio controller",midi-2.png,HIGH
Equipment,MIDI Controller,3,256x256,PNG,"49-key MIDI keyboard, semi-weighted keys, RGB pad grid, multiple knobs and faders, cel-shaded art style, bold black outlines, flat vibrant colors, producer-focused controller",midi-3.png,HIGH
Equipment,MIDI Controller,4,256x256,PNG,"61-key MIDI workstation, weighted keys, large color display, extensive controls, black/silver design, cel-shaded art style, bold black outlines, flat vibrant colors, professional controller",midi-4.png,HIGH
Equipment,MIDI Controller,5,256x256,PNG,"76-key stage piano controller, fully weighted keys, wooden side panels, premium build, cel-shaded art style, bold black outlines, flat vibrant colors, performance-grade keyboard",midi-5.png,HIGH
Equipment,MIDI Controller,6,256x256,PNG,"88-key digital piano, hammer action keys, elegant black finish, built-in speakers, cel-shaded art style, bold black outlines, flat vibrant colors, concert-level controller",midi-6.png,HIGH
Equipment,MIDI Controller,7,256x256,PNG,"Modular synthesizer controller, patch cables visible, colorful modules, knobs and switches everywhere, cel-shaded art style, bold black outlines, flat vibrant neon colors, experimental gear",midi-7.png,HIGH
Equipment,MIDI Controller,8,256x256,PNG,"Holographic MIDI interface, floating keys, gesture control, light-based interaction, cyan/magenta colors, cel-shaded art style, bold black outlines, flat vibrant colors, futuristic instrument",midi-8.png,HIGH
Equipment,MIDI Controller,9,256x256,PNG,"Legendary synthesizer, crystalline keys, energy flowing through circuits, gold/white/rainbow colors, cel-shaded art style, bold black outlines, flat vibrant colors, mythical instrument",midi-9.png,HIGH
Equipment,MIDI Controller,10,256x256,PNG,"Divine music creation interface, pure harmonic energy, sacred musical geometry, transcendent platinum/diamond colors, cel-shaded art style, bold black outlines, flat vibrant colors, ultimate instrument",midi-10.png,HIGH
Equipment,Audio Interface,0,256x256,PNG,"Empty equipment slot, dark silhouette of audio interface shape, cel-shaded art style, bold black outlines, muted gray colors, 2000s video game aesthetic, minimalist, placeholder icon",audio-interface-0.png,HIGH
Equipment,Audio Interface,1,256x256,PNG,"Basic USB audio interface, small red box, single input/output, headphone jack, simple design, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, beginner interface",audio-interface-1.png,HIGH
Equipment,Audio Interface,2,256x256,PNG,"2-input audio interface, red/black design, two combo jacks, gain knobs, USB connection, cel-shaded art style, bold black outlines, flat vibrant colors, home studio interface",audio-interface-2.png,HIGH
Equipment,Audio Interface,3,256x256,PNG,"4-input audio interface, rack-mountable, silver/black, multiple I/O, LED meters, cel-shaded art style, bold black outlines, flat vibrant colors, prosumer recording interface",audio-interface-3.png,HIGH
Equipment,Audio Interface,4,256x256,PNG,"8-channel audio interface, professional rack unit, multiple preamps, digital display, black/silver, cel-shaded art style, bold black outlines, flat vibrant colors, pro studio interface",audio-interface-4.png,HIGH
Equipment,Audio Interface,5,256x256,PNG,"16-channel interface, large rack unit, premium preamps, color touchscreen, extensive routing, cel-shaded art style, bold black outlines, flat vibrant colors, high-end recording",audio-interface-5.png,HIGH
Equipment,Audio Interface,6,256x256,PNG,"Thunderbolt audio interface, sleek aluminum design, pristine converters, blue accent lighting, cel-shaded art style, bold black outlines, flat vibrant colors, flagship interface",audio-interface-6.png,HIGH
Equipment,Audio Interface,7,256x256,PNG,"Modular recording system, multiple rack units, patch bay, vintage-style meters, neon indicators, cel-shaded art style, bold black outlines, flat vibrant neon colors, legendary studio gear",audio-interface-7.png,HIGH
Equipment,Audio Interface,8,256x256,PNG,"Quantum audio converter, holographic signal flow display, floating controls, cyan/magenta colors, cel-shaded art style, bold black outlines, flat vibrant colors, futuristic technology",audio-interface-8.png,HIGH
Equipment,Audio Interface,9,256x256,PNG,"Legendary mastering interface, crystalline converters, perfect signal visualization, gold/white/rainbow colors, cel-shaded art style, bold black outlines, flat vibrant colors, mythical audio quality",audio-interface-9.png,HIGH
Equipment,Audio Interface,10,256x256,PNG,"Divine sonic gateway, pure audio energy, sacred signal geometry, transcendent platinum/diamond colors, cel-shaded art style, bold black outlines, flat vibrant colors, ultimate audio perfection",audio-interface-10.png,HIGH
Artists,MC Flow,0,512x512,PNG,"Empty artist slot, dark silhouette of person with microphone, cel-shaded art style, bold black outlines, muted gray colors, 2000s video game aesthetic, minimalist placeholder",mc-flow-0.png,HIGH
Artists,MC Flow,1,512x512,PNG,"Young rapper, early 20s, casual streetwear, baseball cap, confident pose with microphone, urban background, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic like Jet Set Radio, hip-hop culture",mc-flow-1.png,HIGH
Artists,MC Flow,2,512x512,PNG,"MC Flow with better outfit, branded hoodie, gold chain, more confident expression, studio background, cel-shaded art style, bold black outlines, flat vibrant colors, rising artist vibe",mc-flow-2.png,HIGH
Artists,MC Flow,3,512x512,PNG,"MC Flow in designer streetwear, multiple chains, fresh sneakers, professional studio setting, cel-shaded art style, bold black outlines, flat vibrant colors, established artist look",mc-flow-3.png,HIGH
Artists,MC Flow,4,512x512,PNG,"MC Flow in luxury brand outfit, diamond jewelry, confident swagger, high-end studio, cel-shaded art style, bold black outlines, flat vibrant colors, successful rapper aesthetic",mc-flow-4.png,HIGH
Artists,MC Flow,5,512x512,PNG,"MC Flow in custom designer pieces, platinum chains, signature style developed, premium studio, cel-shaded art style, bold black outlines, flat vibrant colors, star rapper",mc-flow-5.png,HIGH
Artists,MC Flow,6,512x512,PNG,"MC Flow in haute couture streetwear, rare jewelry, iconic pose, legendary studio, cel-shaded art style, bold black outlines, flat vibrant colors, hip-hop icon status",mc-flow-6.png,HIGH
Artists,MC Flow,7,512x512,PNG,"MC Flow in futuristic designer outfit, holographic accessories, commanding presence, cutting-edge studio, cel-shaded art style, bold black outlines, flat vibrant neon colors, genre-defining artist",mc-flow-7.png,HIGH
Artists,MC Flow,8,512x512,PNG,"MC Flow transcendent form, energy aura, crystalline jewelry, otherworldly studio, cel-shaded art style, bold black outlines, flat vibrant colors, legendary status",mc-flow-8.png,HIGH
Artists,MC Flow,9,512x512,PNG,"MC Flow mythical form, glowing with creative energy, sacred geometry patterns, divine studio space, cel-shaded art style, bold black outlines, flat vibrant colors, hip-hop deity",mc-flow-9.png,HIGH
Artists,MC Flow,10,512x512,PNG,"MC Flow ultimate form, pure artistic energy, transcendent presence, cosmic studio, gold/platinum/rainbow colors, cel-shaded art style, bold black outlines, flat vibrant colors, immortal legend",mc-flow-10.png,HIGH
UI,Loading Screen,1,1920x1080,PNG,"Game loading screen, music producer theme, turntables and mixing equipment in center, neon city skyline background, 'PRODUCER TYCOON' title in bold graffiti-style font, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic like Jet Set Radio, energetic and urban",loading-screen.png,HIGH
UI,Main Menu Background,1,1920x1080,PNG,"Main menu background, underground music studio, graffiti walls, neon signs, equipment scattered around, cel-shaded art style, bold black outlines, flat vibrant purple/blue/pink colors, 2000s video game aesthetic, atmospheric",main-menu-bg.png,MEDIUM
UI,Stage Background,1,1920x1080,PNG,"Music stage/venue background, small club setting, stage lights, crowd silhouettes, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, performance atmosphere",stage-bg.png,MEDIUM
UI,Studio Background,1,1920x1080,PNG,"Recording studio background, mixing desk, monitors, acoustic panels, warm lighting, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, professional creative space",studio-bg.png,MEDIUM
Skills,Energy Efficiency,1,128x128,PNG,"Lightning bolt icon with efficiency arrows, yellow/white colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-energy-efficiency.png,HIGH
Skills,Caffeine Rush,1,128x128,PNG,"Coffee cup with energy waves, brown/white/yellow colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-caffeine-rush.png,HIGH
Skills,Stamina,1,128x128,PNG,"Heart with endurance symbol, red/pink colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-stamina.png,HIGH
Skills,Quality Boost I,1,128x128,PNG,"Star with upward arrow, gold/yellow colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-quality-1.png,HIGH
Skills,Quality Boost II,1,128x128,PNG,"Two stars with upward arrows, gold/yellow colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-quality-2.png,HIGH
Skills,Quality Boost III,1,128x128,PNG,"Three stars with upward arrows, gold/yellow colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-quality-3.png,HIGH
Skills,Money Maker I,1,128x128,PNG,"Dollar sign with small sparkles, green/gold colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-money-1.png,HIGH
Skills,Money Maker II,1,128x128,PNG,"Dollar sign with medium sparkles, green/gold colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-money-2.png,HIGH
Skills,Money Maker III,1,128x128,PNG,"Dollar sign with large sparkles and rays, green/gold colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, skill tree icon",skill-money-3.png,HIGH
Contracts,Easy Contract 1,1,256x256,PNG,"Simple contract document icon, bronze seal, basic design, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, beginner mission",contract-easy-1.png,MEDIUM
Contracts,Easy Contract 2,1,256x256,PNG,"Simple contract document icon, bronze seal, slightly better design, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, beginner mission",contract-easy-2.png,MEDIUM
Contracts,Medium Contract 1,1,256x256,PNG,"Professional contract document, silver seal, quality design, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, intermediate mission",contract-medium-1.png,MEDIUM
Contracts,Medium Contract 2,1,256x256,PNG,"Professional contract document, silver seal, premium design, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, intermediate mission",contract-medium-2.png,MEDIUM
Contracts,Hard Contract 1,1,256x256,PNG,"Elite contract document, gold seal, prestigious design, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, advanced mission",contract-hard-1.png,MEDIUM
Contracts,Hard Contract 2,1,256x256,PNG,"Elite contract document, gold seal, luxury design, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic, advanced mission",contract-hard-2.png,MEDIUM
Labels,Underground Records,1,256x256,PNG,"Indie record label logo, underground aesthetic, graffiti style, purple/black colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",label-underground.png,MEDIUM
Labels,Street Sound,1,256x256,PNG,"Street label logo, urban design, spray paint style, orange/red colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",label-street.png,MEDIUM
Labels,Major Beats,1,256x256,PNG,"Major label logo, professional corporate design, blue/gold colors, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",label-major.png,MEDIUM
Achievements,First Beat,1,128x128,PNG,"Bronze trophy with musical note, beginner achievement, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",achievement-first-beat.png,LOW
Achievements,10 Beats,1,128x128,PNG,"Silver trophy with multiple notes, progress achievement, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",achievement-10-beats.png,LOW
Achievements,100 Beats,1,128x128,PNG,"Gold trophy with note explosion, major milestone, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",achievement-100-beats.png,LOW
Achievements,First Sale,1,128x128,PNG,"Bronze medal with dollar sign, first sale achievement, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",achievement-first-sale.png,LOW
Achievements,Millionaire,1,128x128,PNG,"Platinum trophy with money bags, wealth achievement, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",achievement-millionaire.png,LOW
Achievements,Perfect Beat,1,128x128,PNG,"Diamond trophy with perfect star, quality achievement, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",achievement-perfect.png,LOW
Achievements,Week Streak,1,128x128,PNG,"Fire icon with 7-day calendar, streak achievement, cel-shaded art style, bold black outlines, flat vibrant orange/red colors, 2000s video game aesthetic",achievement-week-streak.png,LOW
Achievements,Month Streak,1,128x128,PNG,"Blazing fire with 30-day calendar, long streak achievement, cel-shaded art style, bold black outlines, flat vibrant colors, 2000s video game aesthetic",achievement-month-streak.png,LOW
